"userID","userName"
11,"Charles Bukowski"
7,"Arthur Schopenhauer"
59,"Ralph Waldo Emerson"
4,"Arnulf Baring"
63,"Stefan Hölscher"
71,"Wilhelm Raabe"
10,"Carlos Ruiz Zafón"
32,"Isaac Asimov"
5,"Arthur Conan Doyle"
53,"Oscar Wilde"
56,"Paracelsus"
58,"Publilius Syrus"
41,"Jonathan Swift"
45,"Mark Twain"
69,"Voltaire"
37,"Johann Jakob Engel"
29,"Henry Fielding"
31,"Immanuel Kant"
6,"Arthur Schnitzler"
22,"Georg Büchner"
47,"Martial"
27,"Heinrich Hoffmann"
51,"Moses Maimonides"
9,"Bernhard von Clairvaux"
72,"Wilhelm Reich"
42,"Joseph Beuys"
39,"Johannes von Tepl"
33,"Jean Antoine Petit-Senn"
60,"Rudolf Virchow"
17,"Eugen Richter"
28,"Helmut Schmidt"
14,"Ellis Huber"
24,"Gerhard Schröder"
48,"Matthias Steiner"
30,"Horst Seehofer"
0,"Aischylos"
57,"Philemon"
46,"Markus M. Ronner"
52,"Nasser Chosrau"
70,"Walid Nakschbandi"
13,"Christopher Morley"
62,"Sophie Kinsella"
26,"Gus Van Sant"
21,"Friedrich Nietzsche"
43,"Kate Mosse"
20,"Franz Schmidberger"
38,"Johann Wolfgang von Goethe"
64,"Thomas Hardy"
35,"Johann Amos Comenius"
61,"Sir William Osler"
18,"Ewald Christian von Kleist"
1,"Alexander Iwanowitsch Herzen"
3,"Antoine de Rivarol"
19,"Florence Nightingale"
16,"Ernst Jünger"
2,"Alexis Carrel"
40,"John Stuart Mill"
36,"Johann Gottfried Seume"
54,"Oskar Lafontaine"
73,"Woody Allen"
15,"Emil Zátopek"
55,"Pablo Picasso"
8,"Arturo Pérez-Reverte"
50,"Miguel Delibes"
68,"Ursula Lehr"
66,"Thomas de Maizière"
49,"Michel De Montaigne"
44,"Keith Richards"
12,"Christoph Wilhelm Hufeland"
23,"George Carlin"
25,"Giulia Caminito"
65,"Thomas Sowell"
34,"Jo Dantes"
67,"Unbekannter Autor"
